sku,Brand,Category,sub_category,sub_sub_category,Title,Description,Condition,Price,Image,Product Line,Product Series,Model,OEM Manufacturer,Product Type,# of Cores,Processor Speed,Socket Type
3471E, Dell ,Processors,Desktop Processors,NA,3471E - Dell 300MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II Single-core (1 Core) Processor,Dell 3471E 300MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II Single-core (1 Core) Processor,Refurbished,$148.00,https://cdn.cmshardware.com/images/Images/Products/3471E.webp,Pentium ,,,HP ,Micro Processor ,Single-core (1 Core) ,300 GHz,
4H670, Dell ,Processors,Laptop Processors,NA,4H670 - Dell 900MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 4H670 900MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$108.00,https://cdn.cmshardware.com/images/Images/Products/4H670.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,900 MHz,Socket PGA-370 
4E853, Dell ,Processors,Desktop Processors,NA,4E853 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 4E853 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$78.00,https://cdn.cmshardware.com/images/Images/Products/4E853.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
49YJU, Dell ,Processors,Desktop Processors,NA,49YJU - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 49YJU 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/49YJU.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
5F105, Dell ,Processors,Desktop Processors,NA,5F105 - Dell 800MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5F105 800MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/5F105.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,800 MHz,Socket PPGA370 
5F099, Dell ,Processors,Desktop Processors,NA,5F099 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5F099 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/5F099.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
5F097, Dell ,Processors,Desktop Processors,NA,5F097 - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5F097 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$76.00,https://cdn.cmshardware.com/images/Images/Products/5F097.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
5919P, Dell ,Processors,Desktop Processors,NA,5919P - Dell 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5919P 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$115.00,https://cdn.cmshardware.com/images/Images/Products/5919P.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
5782D, Dell ,Processors,Desktop Processors,NA,5782D - Dell 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 5782D 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$112.00,https://cdn.cmshardware.com/images/Images/Products/5782D.webp,Pentium II ,,,,Micro Processor ,Single-core (1 Core) ,266 MHz,Socket SECC2242 
GW887, Dell ,Processors,Server Processors,NA,GW887 - Dell 2.33GHz LGA771 Xeon E5410 4-Core Processor,Dell GW887 2.33GHz 1333MHz FSB 12MB L2 Cache Socket LGA771 Intel Xeon E5410 Quad-core (4 Core) Processor,Refurbished,$55.00,https://cdn.cmshardware.com/images/Images/Products/GW887-o.webp,Xeon ,,,,Micro Processor ,Quad-core (4 Core) ,2.33 GHz,Socket LGA771 
MU249, Dell ,Processors,Server Processors,NA,MU249 - Dell 2.40GHz Socket PLGA775 Xeon 3060 2-Core Processor,Dell MU249 2.40GHz 1066MHz FSB 4MB L2 Cache Socket PLGA775 Intel Xeon 3060 Dual-core (2 Core) Processor,Refurbished,$55.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,Xeon ,,3060  ,,Micro Processor ,Dual-core (2 Core) ,2.4 GHz,Socket FCLGA3647 
P160K, Dell ,Processors,Server Processors,NA,P160K Dell Xeon 2.50GHz Server CPU,Dell P160K 2.50GHz 1333MHz FSB 6MB L2 Cache Socket LGA771 Intel Xeon X3323 4-Core Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/P160K-o.webp,Xeon ,, X3323  ,,Micro Processor ,Quad-core (4 Core) ,"2,50 GHz",Socket LGA771 
R142G, Dell ,Processors,Server Processors,NA,R142G - Dell 2.33GHz LGA771 Xeon E5410 4-Core Processor,Dell R142G 2.33GHz 1333MHz FSB 12MB L2 Cache Socket LGA771 Intel Xeon E5410 Quad-core (4 Core) Processor,Refurbished,$48.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Core-Gen.webp,Xeon ,,,,Micro Processor ,Quad-core (4 Core) ,2.33 GHz,Socket LGA771 
5E893, Dell ,Processors,Desktop Processors,NA,5E893 - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5E893 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$75.00,https://cdn.cmshardware.com/images/Images/Products/5E893.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
596KW, Dell ,Processors,Desktop Processors,NA,596KW - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 596KW 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$90.00,https://cdn.cmshardware.com/images/Images/Products/596KW.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
51IS1, Dell ,Processors,Desktop Processors,NA,51IS1 - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 51IS1 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/51IS1.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
0D431, Dell ,Processors,Desktop Processors,NA,0D431 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 0D431 700MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/0D431.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
0YHW2, Dell ,Processors,Laptop Processors,NA,0YHW2 - Dell 2.1GHz 2.5GT/s DMI 3MB L3 Cache Socket PGA988 Intel Pentium P6200 Dual-core (2 Core) Processor,Dell 0YHW2 2.1GHz 2.5GT/s DMI 3MB L3 Cache Socket PGA988 Intel Pentium P6200 Dual-core (2 Core) Processor,Refurbished,$78.00,https://cdn.cmshardware.com/images/Images/Products/0YHW2-o.webp,,,,,Micro Processor ,Dual-core (2 Core) ,2.1 GHz,Socket BGA-479 
081GDJ, Dell ,Processors,Desktop Processors,NA,081GDJ - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 081GDJ 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/081GDJ.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
084KXT, Dell ,Processors,Desktop Processors,NA,084KXT - Dell 466MHz 66MHz FSB 128KB Cache Socket PPGA370 Intel Celeron 1-Core Processor,Dell 084KXT 466MHz 66MHz FSB 128KB Cache Socket PPGA370 Intel Celeron 1-Core Processor,Refurbished,$66.00,https://cdn.cmshardware.com/images/Images/Products/084KXT.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,466 MHz,Socket PPGA370 
